pointid,grid_code,X,Y,directSolarSummer,directSolarWinter,rugged_clip,jaxa_dem,NEW_jaxa_clip,Slope_NEW_DEM,Aspect_NEW_DEM,Current_Bio_1,Current_Bio12,Current_YFRW_SDM
1964,0.0000000,553505.706699997186661,-3617395.738199999555945,403.9499207,129.0086670,1.4142135,221,221,0.6848264,60.7241936,18.3187504,197.0000000,0.200247987489959
1965,0.0000000,553536.627899996936321,-3617395.738199999555945,404.3028870,129.6244354,1.4142135,221,221,0.6121641,357.3049622,18.3187504,197.0000000,0.200247987489959
1966,0.0000000,553567.549099996685982,-3617395.738199999555945,404.5112000,130.8316956,1.7320508,221,221,0.9683881,338.8883667,18.3187504,197.0000000,0.200247987489959
1967,0.0000000,553598.470299996435642,-3617395.738199999555945,404.8669128,133.0310822,2.2360680,221,221,1.5304288,357.3099060,18.3187504,197.0000000,0.200247987489959
1968,0.0000000,553505.706699997186661,-3617426.659399999305606,404.2315979,130.5288086,2.2360680,221,221,0.8656514,42.3051682,18.3187504,197.0000000,0.200247987489959
1969,0.0000000,553536.627899996936321,-3617426.659399999305606,404.3177490,130.5797272,2.0000000,222,221,0.9683273,338.8659058,18.3187504,197.0000000,0.200247987489959
1970,0.0000000,553567.549099996685982,-3617426.659399999305606,404.8571472,130.8858337,2.0000000,222,222,1.3688310,338.8336792,18.3187504,197.0000000,0.200247987489959
1971,0.0000000,553598.470299996435642,-3617426.659399999305606,405.5094910,135.7611084,2.0000000,222,222,1.9357438,343.2491455,18.3187504,197.0000000,0.200247987489959
1972,0.0000000,553629.391400001943111,-3617426.659399999305606,405.8686829,137.5173645,3.0000000,222,222,2.7704017,6.7716599,18.3187504,197.0000000,0.200247987489959
1973,0.0000000,553660.312600001692772,-3617426.659399999305606,405.8417969,137.4122467,3.8729835,222,221,3.1928077,11.3465700,18.3187504,197.0000000,0.200247987489959
1974,0.0000000,553505.706699997186661,-3617457.580600000917912,404.6909180,132.0344849,2.2360680,222,222,1.5605727,8.6136885,18.3187504,197.0000000,0.200247987489959
1975,0.0000000,553536.627899996936321,-3617457.580600000917912,404.8417664,132.1971588,2.0000000,222,222,1.5605251,357.2941589,18.3187504,197.0000000,0.200247987489959
1976,0.0000000,553598.470299996435642,-3617457.580600000917912,406.2911072,140.5931091,4.5825758,223,222,3.3073933,317.5019226,18.3187504,197.0000000,0.200247987489959
1977,0.0000000,553660.312600001692772,-3617457.580600000917912,406.3569336,140.3580322,5.5677643,224,223,4.7421184,6.0541253,18.3187504,197.0000000,0.200247987489959
1978,0.0000000,553691.233800001442432,-3617457.580600000917912,406.0688782,138.7091827,5.1961522,223,223,4.4486341,11.3443747,18.3187504,197.0000000,0.200247987489959
1979,0.0000000,553722.155000001192093,-3617457.580600000917912,405.7224121,136.7408447,4.5825758,223,222,3.4191692,8.6047535,18.3187504,197.0000000,0.200247987489959
1980,0.0000000,553474.785499997437000,-3617488.501800000667572,404.5821838,131.7731018,2.2360680,223,223,1.3686614,330.7555847,18.3187504,197.0000000,0.200247987489959
1981,0.0000000,553505.706699997186661,-3617488.501800000667572,405.5293884,133.9537506,2.2360680,223,223,1.9352527,345.9932251,18.3187504,197.0000000,0.200247987489959
1982,0.0000000,553536.627899996936321,-3617488.501800000667572,405.6218872,135.7974396,3.1622777,222,223,2.8200884,357.3135681,18.3187504,197.0000000,0.200247987489959
1983,0.0000000,553567.549099996685982,-3617488.501800000667572,405.7063904,137.7049408,6.5574384,224,222,4.1001644,335.5001831,18.3187504,197.0000000,0.200247987489959
1984,0.0000000,553598.470299996435642,-3617488.501800000667572,406.5042725,143.3817139,7.2111025,226,224,5.5018802,324.5704956,18.3187504,197.0000000,0.200247987489959
1985,0.0000000,553629.391400001943111,-3617488.501800000667572,407.0374756,144.8608704,8.0000000,228,226,5.4087090,338.8743591,18.3187504,197.0000000,0.200247987489959
1986,0.0000000,553722.155000001192093,-3617488.501800000667572,406.5423584,142.0255737,6.7823300,225,224,5.1173563,12.2406511,18.3187504,197.0000000,0.200247987489959
1987,0.0000000,553753.076200000941753,-3617488.501800000667572,405.9982910,138.6134949,5.8309517,225,224,4.2561269,14.4090471,18.3187504,197.0000000,0.200247987489959
1988,0.0000000,553474.785499997437000,-3617519.423000000417233,405.2318115,134.8714294,3.6055512,223,223,2.8857620,323.6100464,18.3187504,197.0000000,0.200247987489959
1989,0.0000000,553505.706699997186661,-3617519.423000000417233,406.4663086,138.9003448,4.1231055,224,224,3.6937582,330.7414246,18.3187504,197.0000000,0.200247987489959
1990,0.5000000,553567.549099996685982,-3617519.423000000417233,405.7580261,142.4541016,6.9282031,226,225,5.7322869,335.5064392,18.3187504,197.0000000,0.200247987489959
1991,0.0000000,553629.391400001943111,-3617519.423000000417233,407.2267456,146.1961670,8.5440035,231,229,6.1745830,330.7407532,18.3187504,197.0000000,0.200247987489959
1992,0.0000000,553753.076200000941753,-3617519.423000000417233,406.0881042,141.0677032,8.2462111,227,226,5.8681960,25.2026196,18.3187504,197.0000000,0.200247987489959
1993,0.0000000,553443.864299997687340,-3617550.344100000336766,405.3893433,136.0967865,3.0000000,224,224,3.4189274,330.7294617,18.3187504,197.0000000,0.200247987489959
1994,0.0000000,553505.706699997186661,-3617550.344100000336766,406.9033203,145.9017639,8.6023254,228,226,6.8136072,326.8443909,18.3187504,197.0000000,0.200247987489959
1995,2.0000000,553536.627899996936321,-3617550.344100000336766,406.7520752,149.3684082,9.6953602,228,227,7.6981492,342.0516357,18.3187504,197.0000000,0.200247987489959
1996,1.0000000,553567.549099996685982,-3617550.344100000336766,406.2193909,149.7868958,10.8627806,229,228,8.0800276,338.8720093,18.3187504,197.0000000,0.200247987489959
1997,0.0000000,553629.391400001943111,-3617550.344100000336766,407.3753357,149.4195862,10.8627806,234,232,7.9837322,334.6848755,18.3187504,197.0000000,0.200247987489959
1998,0.0000000,553660.312600001692772,-3617550.344100000336766,407.3959961,149.8192139,10.3923044,235,233,7.6147838,357.3064880,18.3187504,197.0000000,0.200247987489959
1999,0.0000000,553753.076200000941753,-3617550.344100000336766,406.3062439,144.5687561,9.7467947,230,229,6.9533939,28.2686977,18.3187504,197.0000000,0.200247987489959
2000,0.0000000,553412.943099997937679,-3617581.265300000086427,405.4948120,136.7582092,3.8729835,224,224,2.8857410,323.6274109,18.3187504,197.0000000,0.200247987489959
2001,0.0000000,553443.864299997687340,-3617581.265300000086427,405.5726318,140.8788452,6.1644139,225,225,5.4346995,327.0502014,18.3187504,197.0000000,0.200247987489959
2002,0.0000000,553505.706699997186661,-3617581.265300000086427,406.6313477,150.1289062,13.0384045,233,230,9.3711338,324.1273499,18.3187504,197.0000000,0.200247987489959
2003,2.0000000,553536.627899996936321,-3617581.265300000086427,406.7021484,153.4763641,13.2664995,234,232,9.8726006,341.1173401,18.3187504,197.0000000,0.200247987489959
2004,1.5000000,553567.549099996685982,-3617581.265300000086427,406.5122986,154.4174500,13.8564062,235,233,9.9953966,345.3315430,18.3187504,197.0000000,0.200247987489959
2005,0.0000000,553660.312600001692772,-3617581.265300000086427,407.4876099,149.3623810,11.7473402,239,238,7.9321318,357.3061218,18.3187504,197.0000000,0.200247987489959
2006,0.0000000,553753.076200000941753,-3617581.265300000086427,406.7239990,148.2280579,10.8166542,234,233,7.6266990,26.7781792,18.3187504,197.0000000,0.200247987489959
2007,0.0000000,553783.997400000691414,-3617581.265300000086427,407.0781860,148.3317566,10.4403067,233,231,7.1291013,22.8623447,18.3187504,197.0000000,0.200247987489959
2008,0.3333333,553412.943099997937679,-3617612.186499999836087,405.3402100,138.9783020,5.6568542,226,226,4.3211794,312.3026428,18.3187504,197.0000000,0.200247987489959
2009,0.0000000,553505.706699997186661,-3617612.186499999836087,406.7611694,148.1354523,13.9642401,238,235,9.2888556,317.2760010,18.3187504,197.0000000,0.200247987489959
2010,4.5999999,553567.549099996685982,-3617612.186499999836087,407.0938416,152.3011322,12.6095200,240,239,8.9306831,340.0647278,18.3187504,197.0000000,0.200247987489959
2011,0.0000000,553598.470299996435642,-3617612.186499999836087,407.4217834,150.0371094,12.5698051,242,240,8.9307413,338.2789612,18.3187504,197.0000000,0.200247987489959
2012,0.0000000,553660.312600001692772,-3617612.186499999836087,407.5369568,147.6821289,11.1355286,243,243,7.4625788,1.8784971,18.3187504,197.0000000,0.200247987489959
2013,0.0000000,553814.918600000441074,-3617612.186499999836087,407.3551941,148.9501648,10.5356541,235,233,7.5295362,17.8595734,18.3187504,197.0000000,0.200247987489959
2014,0.0000000,553382.021899998188019,-3617643.107699999585748,404.7302856,135.2296600,5.2915025,226,225,3.8901687,316.1192627,18.3187504,197.0000000,0.200247987489959
2015,0.0000000,553412.943099997937679,-3617643.107699999585748,404.5682983,138.9654846,7.9372540,228,227,5.8291259,307.9117126,18.3187504,197.0000000,0.200247987489959
2016,0.0000000,553474.785499997437000,-3617643.107699999585748,404.1203308,142.8180695,12.5299644,238,234,9.1070433,305.6717529,18.3187504,197.0000000,0.200247987489959
2017,0.0000000,553505.706699997186661,-3617643.107699999585748,406.4332886,144.0026703,12.0000000,241,238,8.4066782,308.1203613,18.3187504,197.0000000,0.200247987489959
2018,0.0000000,553567.549099996685982,-3617643.107699999585748,407.4826965,148.6645508,10.5356541,245,243,7.3574162,331.7477112,18.3187504,197.0000000,0.200247987489959
2019,1.0000000,553598.470299996435642,-3617643.107699999585748,407.7490540,147.6252441,10.5356541,246,245,7.4129281,338.8692627,18.3187504,197.0000000,0.200247987489959
2020,0.0000000,553660.312600001692772,-3617643.107699999585748,407.5684509,146.1703339,8.5440035,246,246,6.3657784,5.8373790,18.3187504,197.0000000,0.200247987489959
2021,0.0000000,553845.839800000190735,-3617643.107699999585748,407.3392639,147.1619415,9.5916634,238,236,6.4663439,7.1711974,18.3187504,197.0000000,0.200247987489959
2022,0.0000000,553876.760999999940395,-3617643.107699999585748,406.8688965,145.5468750,8.8317604,239,236,5.8678999,349.1756897,18.3187504,197.0000000,0.200247987489959
2023,0.0000000,553382.021899998188019,-3617674.028899999335408,403.4454346,133.8979034,5.5677643,227,227,4.5821071,305.9663696,18.3187504,197.0000000,0.200247987489959
2024,5.0000000,553474.785499997437000,-3617674.028899999335408,403.3644104,136.7680359,12.0415945,241,237,8.9306679,302.6166687,18.3187504,197.0000000,0.200247987489959
2025,0.3333333,553505.706699997186661,-3617674.028899999335408,405.2218018,137.0355072,11.4891253,244,241,8.4498091,305.0024719,18.3187504,197.0000000,0.200247987489959
2026,0.0000000,553660.312600001692772,-3617674.028899999335408,407.4261169,141.7237854,7.5498343,250,249,5.4086485,6.7689905,18.3187504,197.0000000,0.200247987489959
2027,0.0000000,553876.760999999940395,-3617674.028899999335408,405.4438782,136.7156372,7.2801099,241,239,4.2884145,0.6738908,18.3187504,197.0000000,0.200247987489959
2028,0.0000000,553382.021899998188019,-3617704.950099999085069,402.5617371,131.4618225,6.0000000,229,228,4.7808266,297.5649719,18.3187504,197.0000000,0.200247987489959
2029,0.0000000,553505.706699997186661,-3617704.950099999085069,404.1084595,132.3386078,10.8627806,246,244,7.2193794,295.9161377,18.3187504,197.0000000,0.200247987489959
2030,0.0000000,553660.312600001692772,-3617704.950099999085069,406.9465637,138.2053375,6.6332498,252,252,4.4487743,8.6176243,18.3187504,197.0000000,0.200247987489959
2031,0.0000000,553876.760999999940395,-3617704.950099999085069,402.1332092,128.8827972,4.8989797,242,242,2.1639392,29.3058891,18.3187504,197.0000000,0.200247987489959
2032,0.0000000,553382.021899998188019,-3617735.871300000697374,402.8587646,132.9269714,6.4031243,229,229,4.9336748,295.6160583,18.3187504,197.0000000,0.200247987489959
2033,0.6666667,553412.943099997937679,-3617735.871300000697374,401.5824585,131.9590149,10.3923044,233,232,7.5297332,281.3442688,18.3187504,197.0000000,0.200247987489959
2034,1.0000000,553505.706699997186661,-3617735.871300000697374,403.8167419,129.5817719,9.1651516,247,245,6.2856617,280.6992188,18.3187504,197.0000000,0.200247987489959
2035,0.0000000,553660.312600001692772,-3617735.871300000697374,406.3926392,135.1678619,4.4721360,254,254,2.9018807,15.7381954,18.3187504,197.0000000,0.200247987489959
2036,0.0000000,553691.233800001442432,-3617735.871300000697374,405.9366760,134.5576630,5.2915025,253,253,3.6813958,32.2963524,18.3187504,197.0000000,0.200247987489959
2037,0.5000000,553876.760999999940395,-3617735.871300000697374,397.8413391,119.9948425,4.8989797,242,242,3.7313976,104.0010834,18.3187504,197.0000000,0.200247987489959
2038,0.5000000,553412.943099997937679,-3617766.792500000447035,402.6942749,134.5741119,10.6301460,233,233,7.5175295,288.6780701,18.3187504,197.0000000,0.200247987489959
2039,0.5000000,553443.864299997687340,-3617766.792500000447035,402.9789124,132.9026031,10.3923044,241,238,7.6082067,283.5669556,18.3187504,197.0000000,0.200247987489959
